block	round	hides	s1	s3
0	1	[24  5  2  9  1 23]	14	9
0	2	[24  5  2  9  1 23]	8	23
0	3	[24  5  2  9  1 23]	12	5
0	4	[24  5  2  9  1 23]	10	9
0	5	[24  5  2  9  1 23]	19	1
0	6	[24  5  2  9  1 23]	6	9
0	7	[24  5  2  9  1 23]	5	2
0	8	[24  5  2  9  1 23]	9	24
0	9	[24  5  2  9  1 23]	15	24
0	10	[24  5  2  9  1 23]	21	5
1	1	[ 8 13 18 17 20  9]	6	20
1	2	[ 8 13 18 17 20  9]	15	18
1	3	[ 8 13 18 17 20  9]	14	9
1	4	[ 8 13 18 17 20  9]	15	20
1	5	[ 8 13 18 17 20  9]	15	9
1	6	[ 8 13 18 17 20  9]	9	13
1	7	[ 8 13 18 17 20  9]	5	18
1	8	[ 8 13 18 17 20  9]	1	13
1	9	[ 8 13 18 17 20  9]	12	8
1	10	[ 8 13 18 17 20  9]	17	18
2	1	[24  2 23  5  6 21]	6	5
2	2	[24  2 23  5  6 21]	16	5
2	3	[24  2 23  5  6 21]	19	6
2	4	[24  2 23  5  6 21]	8	5
2	5	[24  2 23  5  6 21]	14	23
2	6	[24  2 23  5  6 21]	0	23
2	7	[24  2 23  5  6 21]	4	24
2	8	[24  2 23  5  6 21]	7	21
2	9	[24  2 23  5  6 21]	14	23
2	10	[24  2 23  5  6 21]	16	5
