block	round	hides	s1	s3
0	1	[22  8 24  2 10  6]	4	24
0	2	[22  8 24  2 10  6]	20	8
0	3	[22  8 24  2 10  6]	19	8
0	4	[22  8 24  2 10  6]	20	2
0	5	[22  8 24  2 10  6]	2	22
0	6	[22  8 24  2 10  6]	20	2
0	7	[22  8 24  2 10  6]	7	8
0	8	[22  8 24  2 10  6]	2	10
0	9	[22  8 24  2 10  6]	9	2
0	10	[22  8 24  2 10  6]	15	22
1	1	[ 1 13  8  5 24 12]	0	12
1	2	[ 1 13  8  5 24 12]	2	12
1	3	[ 1 13  8  5 24 12]	1	5
1	4	[ 1 13  8  5 24 12]	23	1
1	5	[ 1 13  8  5 24 12]	6	13
1	6	[ 1 13  8  5 24 12]	15	5
1	7	[ 1 13  8  5 24 12]	20	1
1	8	[ 1 13  8  5 24 12]	0	1
1	9	[ 1 13  8  5 24 12]	14	1
1	10	[ 1 13  8  5 24 12]	5	24
2	1	[13  1 24  0 17 10]	21	17
2	2	[13  1 24  0 17 10]	18	10
2	3	[13  1 24  0 17 10]	1	17
2	4	[13  1 24  0 17 10]	23	10
2	5	[13  1 24  0 17 10]	7	1
2	6	[13  1 24  0 17 10]	3	10
2	7	[13  1 24  0 17 10]	6	1
2	8	[13  1 24  0 17 10]	9	10
2	9	[13  1 24  0 17 10]	17	24
2	10	[13  1 24  0 17 10]	8	17
