block	round	hides	s1	s3
0	1	[22 16  8  7  1 13]	8	1
0	2	[22 16  8  7  1 13]	18	8
0	3	[22 16  8  7  1 13]	19	8
0	4	[22 16  8  7  1 13]	0	13
0	5	[22 16  8  7  1 13]	6	13
0	6	[22 16  8  7  1 13]	19	1
0	7	[22 16  8  7  1 13]	15	7
0	8	[22 16  8  7  1 13]	24	13
0	9	[22 16  8  7  1 13]	0	7
0	10	[22 16  8  7  1 13]	14	16
1	1	[ 2 11  6  4  3  0]	0	3
1	2	[ 2 11  6  4  3  0]	23	2
1	3	[ 2 11  6  4  3  0]	13	2
1	4	[ 2 11  6  4  3  0]	21	3
1	5	[ 2 11  6  4  3  0]	9	3
1	6	[ 2 11  6  4  3  0]	6	11
1	7	[ 2 11  6  4  3  0]	22	6
1	8	[ 2 11  6  4  3  0]	15	3
1	9	[ 2 11  6  4  3  0]	23	4
1	10	[ 2 11  6  4  3  0]	17	3
2	1	[17 24 13  0 10 19]	22	19
2	2	[17 24 13  0 10 19]	16	0
2	3	[17 24 13  0 10 19]	11	10
2	4	[17 24 13  0 10 19]	4	17
2	5	[17 24 13  0 10 19]	10	17
2	6	[17 24 13  0 10 19]	15	13
2	7	[17 24 13  0 10 19]	2	13
2	8	[17 24 13  0 10 19]	17	19
2	9	[17 24 13  0 10 19]	1	0
2	10	[17 24 13  0 10 19]	14	19
